STORE_ID	1_CATEGORY	2_CATEGORY	3_CATEGORY	4_CATEGORY	NAME	BUSINESS_NAME	PARTNER_NAME	STREET	NUM	CITY	STATE	ZIP	LOCALE_TYPE	INTRODUCED_DATE	RETIRED_DATE	REINTRODUCED_DATE	STATUS	LAT	LONG	SALES_AREA_LEVEL_1	SALES_AREA_LEVEL_2	SALES_AREA_LEVEL_3	INGESTION_DATE	STORE_PHONE	STORE_LINK	PARTNER_ID
1116	NORDESTE	B	P - Ate 827m2	RUA			LB JUAZEIRO RUA	AVENIDA SAO JOAO 1947		JUAZEIRO	BA	48900-441		2006-11-01T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1117	BAHIA	B	M - 828m2 a 1136m2	SHOPPING			LB SHOP BARRA	AV CENTENARIO 2992		SALVADOR	BA	40140-400		2011-02-26T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1118	BAHIA	A	P - Ate 827m2	RUA			LB GETULIO VARGAS	AV. GETUILIO VARGAS 1450		FEIRA DE SANTANA	BA	44001-525		2014-04-05T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1119	NORTE	A	P - Ate 827m2	SHOPPING			LB SANTA INÊS RUA	RUA DO COMERCIO 272		SANTA INÊS	MA	65300-046		2012-11-29T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1120	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB RECIFE RUA	AVENIDA CONDE DA BOA VISTA 532		RECIFE	PE	50060-004		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1121	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOPPING BOA VISTA	RUA DO GIRIQUITI 48		RECIFE	PE	50070-010		2012-09-20T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1122	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB MAUA PLAZA SHOPPING	AV GOVERNADOR MARIO COVAS JR 0		MAUA	SP	09390-040		2012-12-14T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1132	NORTE	A	P - Ate 827m2	SHOPPING			LB SHOPPING PATIO MARABA	ROD BR 230, FOLHA 30, QUADRA 1		MARABA	PA	68507-445		2012-11-23T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1134	NORDESTE	B	P - Ate 827m2	SHOPPING			LB PATOS SHOPPING	RUA HORACIO NOBREGA S/N		PATOS	PB	58704-440		2018-11-10T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1140	SUDESTE	B	P - Ate 827m2	SHOPPING			LB VIA BRASIL	AVENIDA DOM PEDRO I 402		BELO HORIZONTE	MG	31710-000		2012-08-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
